Time,seasonal
2014-10-07 01:20:00,9.065142843846768
2014-10-07 01:30:00,10.49858083699116
2014-10-07 01:50:00,-1.4039222162716738
2014-10-07 02:00:00,-8.175553269150942
2014-10-07 02:10:00,-12.06514535283492
2014-10-07 02:20:00,-16.2626098393836
2014-10-07 02:30:00,-19.2316950062278
2014-10-07 02:40:00,-16.22713820688912
2014-10-07 02:50:00,-20.53856344136348
2014-10-07 03:00:00,-18.048348551557904
2014-10-07 03:10:00,-17.179805314031103
2014-10-07 03:20:00,-18.26877989984172
2014-10-07 03:30:00,-19.344856370401025
2014-10-07 03:40:00,-18.04221109491149
2014-10-07 03:50:00,-13.959530787415694
2014-10-07 04:00:00,-13.006682542257057
2014-10-07 04:10:00,-11.338508269863453
2014-10-07 04:20:00,-15.591642369303731
2014-10-07 04:30:00,-20.618230250367624
2014-10-07 04:40:00,-20.3369999923807
2014-10-07 04:50:00,-12.208627098364628
2014-10-07 05:00:00,-15.402446763612655
2014-10-07 05:10:00,-14.88738597776871
2014-10-07 05:20:00,-11.292486108071953
2014-10-07 05:30:00,-8.665589001585115
2014-10-07 05:40:00,-10.118690843374234
2014-10-07 05:50:00,-8.600477754770614
2014-10-07 06:00:00,-12.613983418704215
2014-10-07 06:10:00,-16.52626034681136
2014-10-07 06:20:00,-16.518331576089953
2014-10-07 06:30:00,-16.913829128785018
2014-10-07 06:40:00,-20.11890248039586
2014-10-07 06:50:00,-19.99820545975515
2014-10-07 07:00:00,-14.888303943241823
2014-10-07 07:10:00,-9.777275908097442
2014-10-07 07:20:00,-13.429658355052664
2014-10-07 07:30:00,-16.227276676940505
2014-10-07 07:40:00,-20.672882013387195
2014-10-07 07:50:00,-20.783602444482593
2014-10-07 08:00:00,-18.559764973015152
2014-10-07 08:10:00,-16.183703320281325
2014-10-07 08:20:00,-16.411490910064643
2014-10-07 08:30:00,-22.736630546526303
2014-10-07 08:40:00,-25.03141423060197
2014-10-07 08:50:00,-21.829625790121703
2014-10-07 09:00:00,-22.260005847684486
2014-10-07 09:10:00,-20.652262242247275
2014-10-07 09:20:00,-21.877938797373286
2014-10-07 09:30:00,-22.84419834259667
2014-10-07 09:40:00,-28.805084647962218
2014-10-07 09:50:00,-33.74160787979089
2014-10-07 10:00:00,-33.11121834876521
2014-10-07 10:10:00,-34.06934014586297
2014-10-07 10:20:00,-36.12989122088051
2014-10-07 10:30:00,-30.922474024726668
2014-10-07 10:40:00,-29.13837670836199
2014-10-07 10:50:00,-28.334110213912705
2014-10-07 11:00:00,-25.267159824179515
2014-10-07 11:10:00,-18.33189394622215
2014-10-07 11:20:00,-12.96379401010216
2014-10-07 11:30:00,-8.77403764420091
2014-10-07 11:40:00,-4.631489488224799
2014-10-07 11:50:00,-5.513020746137386
2014-10-07 12:00:00,-6.277345470290033
2014-10-07 12:10:00,-4.289314563096523
2014-10-07 12:20:00,-5.0346467102130505
2014-10-07 12:30:00,-7.040961163158174
2014-10-07 12:40:00,-5.927913284742485
2014-10-07 12:50:00,-2.868418539164137
2014-10-07 13:00:00,-5.714525029564529
2014-10-07 13:10:00,-2.975982254693024
2014-10-07 13:20:00,-3.93349627458302
2014-10-07 13:30:00,-5.219240151518068
2014-10-07 13:40:00,-6.563858723081634
2014-10-07 13:50:00,-5.407021461874902
2014-10-07 14:00:00,-3.4756578610326807
2014-10-07 14:10:00,-3.457892818828744
2014-10-07 14:20:00,-3.5310373992813546
2014-10-07 14:30:00,-0.857779703761776
2014-10-07 14:40:00,1.4458025192878066
2014-10-07 14:50:00,2.9015218669025997
2014-10-07 15:00:00,2.70021894962405
2014-10-07 15:10:00,5.64316623069582
2014-10-07 15:20:00,5.5293535208226166
2014-10-07 15:30:00,8.697620032274537
2014-10-07 15:40:00,8.523189663747484
2014-10-07 15:50:00,4.756360737556759
2014-10-07 16:00:00,6.1479324985283865
2014-10-07 16:10:00,3.9346876502545287
2014-10-07 16:20:00,0.5856621440730979
2014-10-07 16:30:00,-12.056932681750308
2014-10-07 16:40:00,-9.302788278557138
2014-10-07 16:50:00,-10.640711315266264
2014-10-07 17:00:00,-19.382328382847966
2014-10-07 17:10:00,-21.49518073411452
2014-10-07 17:20:00,-14.555703761396789
2014-10-07 17:30:00,-16.371218375505943
2014-10-07 17:40:00,-3.765310848317645
2014-10-07 17:50:00,0.6163690049488892
2014-10-07 18:00:00,-5.883575297332399
2014-10-07 18:10:00,-21.407757381888008
2014-10-07 18:20:00,-17.551594799088996
2014-10-07 18:30:00,-8.390742811066454
2014-10-07 18:40:00,-11.302435143794787
2014-10-07 18:50:00,-17.44700882284902
2014-10-07 19:00:00,-21.5428093021647
2014-10-07 19:10:00,-12.893260167593844
2014-10-07 19:20:00,-14.46625217417017
2014-10-07 19:30:00,-15.390755114713734
2014-10-07 19:40:00,-5.742155561794605
2014-10-07 19:50:00,-2.102380425127172
2014-10-07 20:00:00,-5.364826978553952
2014-10-07 20:10:00,-6.453902962650095
2014-10-07 20:20:00,-6.405290506371716
2014-10-07 20:30:00,-3.0358354660025864
2014-10-07 20:40:00,-6.653988975031129
2014-10-07 20:50:00,-5.703895924145844
2014-10-07 21:00:00,-0.7783219281940755
2014-10-07 21:10:00,2.503931312918472
2014-10-07 21:20:00,4.162793593676396
2014-10-07 21:30:00,8.389577914248603
2014-10-07 21:40:00,7.038733661721596
2014-10-07 21:50:00,4.467837678192264
2014-10-07 22:00:00,6.489121799052144
2014-10-07 22:10:00,8.012500757794662
2014-10-07 22:20:00,-0.41044050964758416
2014-10-07 22:30:00,-0.060913557449099986
