Time,trend
2015-07-03 07:40:00,27.037865370416615
2015-07-03 07:50:00,27.03779948470713
2015-07-03 08:00:00,27.037733679919562
2015-07-03 08:10:00,27.037667955975063
2015-07-03 08:20:00,27.037602312791968
2015-07-03 08:30:00,27.037536750293093
2015-07-03 08:40:00,27.037471268396096
2015-07-03 08:50:00,27.03740586702202
2015-07-03 09:00:00,27.037340546092004
2015-07-03 09:10:00,27.037275305527956
2015-07-03 09:20:00,27.03721014524999
2015-07-03 09:30:00,27.037145065179136
2015-07-03 09:40:00,27.037080065237625
2015-07-03 09:50:00,27.03701514534496
2015-07-03 10:00:00,27.0369503054229
2015-07-03 10:10:00,27.03688554539268
2015-07-03 10:20:00,27.036820865175265
2015-07-03 10:30:00,27.0367562646933
2015-07-03 10:40:00,27.036691743868566
2015-07-03 10:50:00,27.036627302620005
2015-07-03 11:00:00,27.036562940873097
2015-07-03 11:10:00,27.036498658547952
2015-07-03 11:20:00,27.036434455567168
2015-07-03 11:30:00,27.036370331853032
2015-07-03 11:40:00,27.03630628732759
2015-07-03 11:50:00,27.036242321913697
2015-07-03 12:00:00,27.036178435531948
2015-07-03 12:10:00,27.0361146281057
2015-07-03 12:20:00,27.036050899556777
2015-07-03 12:30:00,27.035987249810603
2015-07-03 12:40:00,27.035923678786812
2015-07-03 12:50:00,27.03586018641023
2015-07-03 13:00:00,27.035796772600587
2015-07-03 13:10:00,27.035733437284325
2015-07-03 13:20:00,27.035670180383875
2015-07-03 13:30:00,27.03560700182171
2015-07-03 13:40:00,27.035543901520512
2015-07-03 13:50:00,27.03548087940418
2015-07-03 14:00:00,27.035417935396197
2015-07-03 14:10:00,27.035355069419456
2015-07-03 14:20:00,27.035292281400082
2015-07-03 14:30:00,27.03522957125839
2015-07-03 14:40:00,27.035166938919932
2015-07-03 14:50:00,27.03510438430738
2015-07-03 15:00:00,27.03504190734536
2015-07-03 15:10:00,27.034979507958496
2015-07-03 15:20:00,27.03491718607023
2015-07-03 15:30:00,27.03485494160521
2015-07-03 15:40:00,27.034792774487354
2015-07-03 15:50:00,27.034730684642625
2015-07-03 16:00:00,27.03466867199521
2015-07-03 16:10:00,27.03460673646688
2015-07-03 16:20:00,27.034544877983315
2015-07-03 16:30:00,27.034483096469216
2015-07-03 16:40:00,27.03442139185074
2015-07-03 16:50:00,27.034359764052592
2015-07-03 17:00:00,27.034298212997125
2015-07-03 17:20:00,27.034236738611284
2015-07-03 17:30:00,27.034175340818752
2015-07-03 17:40:00,27.03411401954801
2015-07-03 17:50:00,27.034052774722795
2015-07-03 18:00:00,27.03399160626704
2015-07-03 18:10:00,27.03393051410722
2015-07-03 18:20:00,27.0338694981693
2015-07-03 18:30:00,27.03380855837871
2015-07-03 18:40:00,27.033747694661763
2015-07-03 18:50:00,27.033686906943096
2015-07-03 19:00:00,27.033626195147104
2015-07-03 19:10:00,27.033565559201772
2015-07-03 19:20:00,27.033504999032314
2015-07-03 19:30:00,27.03344451456814
2015-07-03 19:40:00,27.033384105731518
2015-07-03 19:50:00,27.03332377245099
2015-07-03 20:00:00,27.033263514654273
2015-07-03 20:10:00,27.033203332266538
2015-07-03 20:20:00,27.03314322521456
2015-07-03 20:30:00,27.033083193423682
2015-07-03 20:40:00,27.033023236819147
2015-07-03 20:50:00,27.03296335533157
2015-07-03 21:00:00,27.03290354888691
2015-07-03 21:10:00,27.032843817412452
2015-07-03 21:20:00,27.032784160833565
2015-07-03 21:30:00,27.032724579078423
2015-07-03 21:40:00,27.03266507207473
2015-07-03 21:50:00,27.032605639750308
2015-07-03 22:00:00,27.032546282032605
2015-07-03 22:10:00,27.032486998846743
2015-07-03 22:20:00,27.032427790122263
2015-07-03 22:30:00,27.032368655786993
2015-07-03 22:40:00,27.032309595769004
2015-07-03 22:50:00,27.032250609994996
2015-07-03 23:00:00,27.032191698393962
2015-07-03 23:10:00,27.032132860894627
2015-07-03 23:20:00,27.032074097423127
2015-07-03 23:30:00,27.032015407909572
2015-07-03 23:40:00,27.031956792282983
2015-07-03 23:50:00,27.031898250470622
2015-07-04 00:00:00,27.03183978239868
2015-07-04 00:10:00,27.031781387998997
2015-07-04 00:20:00,27.031723067198087
2015-07-04 00:30:00,27.031664819926593
2015-07-04 00:40:00,27.031606646112483
2015-07-04 00:50:00,27.031548545685464
2015-07-04 01:00:00,27.03149051857284
2015-07-04 01:10:00,27.031432564704954
2015-07-04 01:20:00,27.03137468401036
2015-07-04 01:30:00,27.03131687641802
2015-07-04 01:40:00,27.03125914185782
2015-07-04 01:50:00,27.031201480259632
2015-07-04 02:00:00,27.031143891553015
2015-07-04 02:10:00,27.03108637566694
2015-07-04 02:20:00,27.031028932532283
2015-07-04 02:30:00,27.030971562078676
2015-07-04 02:40:00,27.030914264235953
2015-07-04 02:50:00,27.030857038933817
2015-07-04 03:00:00,27.030799886102145
2015-07-04 03:10:00,27.030742805671498
2015-07-04 03:20:00,27.030685797572247
2015-07-04 03:30:00,27.03062886173303
2015-07-04 03:40:00,27.03057199808576
2015-07-04 03:50:00,27.030515206561244
2015-07-04 04:00:00,27.030458487088648
2015-07-04 04:10:00,27.030401839599314
2015-07-04 04:20:00,27.030345264023772
2015-07-04 04:30:00,27.030288760293793
2015-07-04 04:40:00,27.030232328339405
2015-07-04 04:50:00,27.030175968093335
2015-07-04 05:00:00,27.030119679484844
2015-07-04 05:10:00,27.030063462445735
2015-07-04 05:20:00,27.030007316905788
2015-07-04 05:30:00,27.029951242798557
2015-07-04 05:40:00,27.029895240053964
2015-07-04 05:50:00,27.02983930860481
2015-07-04 06:00:00,27.029783448382652
2015-07-04 06:10:00,27.029727659319082
2015-07-04 06:20:00,27.029671941345445
2015-07-04 06:30:00,27.029616294393396
2015-07-04 06:40:00,27.02956071839613
2015-07-04 06:50:00,27.029505213284505
2015-07-04 07:00:00,27.02944977899067
2015-07-04 07:10:00,27.02939441544722
2015-07-04 07:20:00,27.029339122585842
2015-07-04 07:30:00,27.029283900338104
2015-07-04 07:40:00,27.029228748639593
2015-07-04 07:50:00,27.02917366742032
2015-07-04 08:00:00,27.029118656614184
2015-07-04 08:10:00,27.029063716151946
2015-07-04 08:20:00,27.029008845968026
2015-07-04 08:30:00,27.028954045994745
2015-07-04 08:40:00,27.02889931616533
2015-07-04 08:50:00,27.02884465641368
2015-07-04 09:00:00,27.02879006667207
2015-07-04 09:10:00,27.028735546873683
2015-07-04 09:20:00,27.028681096951896
2015-07-04 09:30:00,27.028626716840673
2015-07-04 09:40:00,27.028572406473025
2015-07-04 09:50:00,27.028518165781954
2015-07-04 10:00:00,27.02846399470119
2015-07-04 10:10:00,27.028409893165737
2015-07-04 10:20:00,27.028355861108963
2015-07-04 10:30:00,27.028301898464832
2015-07-04 10:40:00,27.028248005166812
2015-07-04 10:50:00,27.02819418115001
2015-07-04 11:00:00,27.028140426347953
2015-07-04 11:10:00,27.02808674069461
2015-07-04 11:20:00,27.028033124125045
2015-07-04 11:30:00,27.027979576573827
2015-07-04 11:40:00,27.027926097974927
2015-07-04 11:50:00,27.027872688263262
2015-07-04 12:00:00,27.027819347373804
2015-07-04 12:10:00,27.027766075240915
2015-07-04 12:20:00,27.027712871799185
2015-07-04 12:30:00,27.027659736983214
2015-07-04 12:40:00,27.027606670729185
2015-07-04 12:50:00,27.027553672971774
2015-07-04 13:00:00,27.027500743647465
2015-07-04 13:10:00,27.027447882690872
2015-07-04 13:20:00,27.02739509003686
2015-07-04 13:30:00,27.027342365621752
2015-07-04 13:40:00,27.027289709382387
2015-07-04 13:50:00,27.02723712125211
2015-07-04 14:00:00,27.027184601168653
2015-07-04 14:10:00,27.027132149067082
2015-07-04 14:20:00,27.027079764883855
2015-07-04 14:30:00,27.027027448554623
